"Part";"Value";"Device";"Package";"Description";"";
"C1";"10nf";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"D1";"BAT81";"BAT81";"DO34-7";"DIODE";"";
"IC2";"LM393D";"LM393D";"SO08";"COMPARATOR";"";
"L1";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";
"R1";"430";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";
"R2";"47K";"R-TRIMM64W";"RTRIM64W";"Trimm resistor";"";
"R3";"22k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R4";"650";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";
"R5";"10k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R6";"47k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R7";"47k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R8";"1k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"RX";"";"LED3MM";"LED3MM";"LED";"";
"SV1";"";"MA03-1";"MA03-1";"PIN HEADER";"";
"TX";"";"LED3MM";"LED3MM";"LED";"";
